Reviewer_ID,Reviewer_Type,Location,Date,Price,Rating,Review_Title,Review_Text
27307998,Certified Buyer,Kanpur,2 months ago,"85,499",1,Great product,"Picture quality is amazing you do not need to think twice about buying this for performance and photos, just go for it. Bionic A 15 is super fast and it has amazing performance,It is specially good for gaming although battery backup is not that good if you are a heavy user,But if you are a light or medium user it will give you battery backup of whole day in one charge."
56667315,Certified Buyer,Chowwara,6 months ago,"85,499",1,Unsatisfactory,The product was good but the delivery was too bad. worst experience from flipkart
57517697,Certified Buyer,Patna,7 months ago,"85,499",1,Utterly Disappointed,"Review after 3 months...all of sudden phone dead ,taken in to service center they said motherboard issue...fortunate this happen during warranty else It would have been different story altogether."
56621305,Certified Buyer,Lucknow,5 months ago,"85,499",1,Waste of money!,"Camera lens has dust particles,it has manufacturing defects and Flipkart refused to replace. Please don't ever but from Flipkart. I contacted Apple and they said Flipkart will replace and seller has the responsibility now I can not do anything with it.I regret buying from Flipkart offline sores are more reliable than Flipkart."
23125526,Certified Buyer,Kalyan,5 months ago,"85,499",1,Worst experience ever!,It is very worst while replacement with old iPhone.Pickup person or vender says to install yantra app which is not support to iPhone and they deny the old one.They are forcing to cancel the order.Big jock is that person and vender aware that yantra app does not work on iPhone.
71894259,Certified Buyer,Shahjahanpur,6 months ago,"85,499",1,Don't waste your money,Rate changed every single minute
29538806,Certified Buyer,Kolaghat,6 months ago,"85,499",1,Utterly Disappointed,"Wrost BBD sale , very very disappointed, so bad ,"
43171109,Certified Buyer,Ambarnath,6 months ago,"85,499",1,Don't waste your money,Recieved new iphone 13 with deep scratch on left side.Worst purchase on Big Billion Day and Bad support by Flipkart as no replacement provided for this only return policy. Very bad experience and feeling cheated for my purchase.
94831753,Certified Buyer,New Delhi,5 months ago,"85,499",1,Absolute rubbish!,I am suffering heatup while charging my phone
41357739,Certified Buyer,Kanpur,10 months ago,"85,499",1,Don't waste your money,Don't buy on flipkart...
29004420,Certified Buyer,Kalyan,5 months ago,"85,499",1,WORST CUSTOMER SERVICE AND WORST SELLERS,PHONE IS BEST BUT THE SELLER IS THE WORST EVEN AFTER APPLYING WITH GST THEY SAY THAT I HAVE NOT TICKED THE OPTION FOR GST THIS IS THE ANSWER THEY GIVEN WHEN EVER I CALL THEM FOR THE INVOICE ISSUE AND ALSO THE SLLERY DOSENT EVEN RESPOND AND THE MAIN THING THESE PEOPLE WRITE SOMETHING ON THE BANNER PAGE OF THE MOBILE AND GIVE SOMETHING ELSE IN DETAILS IF WE GO DEEP INTO IT
44204805,Certified Buyer,New Town,10 months ago,"85,499",1,Very poor,Dont know what's going on... suddenly display is not working... pathetic situation
85228751,Certified Buyer,Kancheepuram,4 months ago,"85,499",1,Hated it!,"Android to ios..? Freebird to locked in room. Almost your daily needs will be turned off.1.can't play music freely.2.you don't know what files in your phone.3.true caller functions which is very useful in Android is 90% limited in ios.4.No speed dial.5.No unlimited call history.6.Calculator will not showing any history as android.7.you cannot sync your contacts with Google.8.No quad hd screen, you can really feel the smoothness in flagship devices. Also just 6 inch screen which makes ..."
