Reviewer_ID,Reviewer_Type,Location,Date,Price,Rating,Review_Title,Review_Text
57537273,Certified Buyer,Hoshangabad,9 months ago,"9,499",1,Worst experience ever!,Don't trust on mi mobile very poor performance. Display of this mobile is below to average. Mobile have a 4 gb ram but it is hanging so many time. Ram management very poor and weak. Charging of this mobile taking 2 to 3 hours. But battery drains to 15 % in first 13 minutes.Cemara of this mobile very poor feeling like 10 to 12 mega pixels. Front cemara dis appointed you. When watching selfies taken from this mobile you feel us fool . Details of images very bad.Display of this mobile like ...
53704156,Certified Buyer,Arrah,11 months ago,"9,499",1,Terrible product,Very bad mobile.  Charging issue Major
41210752,Certified Buyer,Barasat,9 months ago,"9,499",1,Unsatisfactory,Audio🔊 quality is so poor...
60747144,Certified Buyer,Bidhan Nagar,9 months ago,"9,499",1,Terrible product,My Redmi 10 mobile started hanging within 15 days from date of purchase.
43146620,Certified Buyer,Alwar,8 months ago,"9,499",1,Very poor,Slow performanceNd flipkart return service very bad
95562433,Certified Buyer,Kalyan,9 months ago,"9,499",1,Waste of money!,"No clearity of camera and hanging issue,received mobile  faulty ,as per given configuration mobile is good in price but actually not also in this situation flipkart not supporting well as expected,"
29595430,Certified Buyer,Ongole,9 months ago,"9,499",1,Useless product,Mobile getting over heat
81307529,Certified Buyer,Gajendragarh,9 months ago,"9,499",1,Waste of money!,Didn't met minimum expectation. Front Camera worst ever i used and i complained regards. it's not worth of 11k. Old redmi lost their quality.
36916065,Certified Buyer,Shahjahanpur,11 months ago,"9,499",1,Best in the market!,Mind blowing
75276379,Certified Buyer,Yamunanagar,10 months ago,"9,499",1,Terrible product,This phone auto restart preoblem and hang also...so I request you guys don't buy this phone
29634778,Certified Buyer,Thrissur,8 months ago,"9,499",1,Terrible product,"Don't buy this mobile, it freeze alot"
72204886,Certified Buyer,Pudupattinam,9 months ago,"9,499",1,Hated it!,Bad mobile phones.. Please don't buy this phone
58658988,Certified Buyer,Vasai Virar,9 months ago,"9,499",1,Worst experience ever!,My issue is there is no network shows in my cell. I was think is sim issue but when i bring my product in MI service centre they said it's board issue or something. My cell is not working right now.
79717865,Certified Buyer,New Delhi,9 months ago,"9,499",1,Not recommended at all,audio pathetic camera not as good as mentioned in specsplease do not buy this product
37334405,Certified Buyer,Gopalganj,9 months ago,"9,499",1,Not recommended at all,Very bad mobile
95727489,Certified Buyer,Bengaluru,9 months ago,"9,499",1,Hated it!,Very very bad charging. Full charge it will take 3 hours and Cemar also tooo bad Wast fo the money Don't buy this mobile
98191298,Certified Buyer,Hindupur,9 months ago,"9,499",1,Did not meet expectations,Worst cameras worst performance waste
35013784,Certified Buyer,Puducherry,9 months ago,"9,499",1,Did not meet expectations,Very poor..
86138248,Certified Buyer,Zamania,11 months ago,"9,499",1,Terrible product,mobile is heavy weighted.
47755739,Certified Buyer,Mau District,8 months ago,"9,499",1,Waste of money!,There are a problem in charging. The charging is very slow. Battery problem.
21193931,Certified Buyer,Agra,8 months ago,"9,499",1,Don't waste your money,Camra quality is very poor so waste my money please don't buy any one this phone.
12976790,Certified Buyer,Warangal,8 months ago,"9,499",1,Not recommended at all,"Battery charging is very slow, recently it is stucked automatically, EMI number dose not matched for exchange,"
69250989,Certified Buyer,Jaipur,9 months ago,"9,499",1,Utterly Disappointed,"Processor Speed not upto the mark.Even opening call logs is too slow, takes upto 2 seconds to open."
52574152,Certified Buyer,Visakhapatnam,9 months ago,"9,499",1,Very poor,Fingerprint sensor is not working
65377838,Certified Buyer,Satna,9 months ago,"9,499",1,Very poor,Battery backup is not working properly and battery charging slow process
55693679,Certified Buyer,Dhanbad,10 months ago,"9,499",1,Hated it!,High cost but performance very low
81497957,Certified Buyer,Bengaluru,10 months ago,"9,499",1,Terrible product,Camera quality is not good...very disappointing...
17576516,Certified Buyer,Mandhar Industrial Area,10 months ago,"9,499",1,Very poor,If you want a good camera don’t buy this one go for other options the camera quality is very poor as phone below 5k phone. Don’t buy
45981956,Certified Buyer,Sadak Arjuni,11 months ago,"9,499",1,Unsatisfactory,Redmi cheated us ..Charging time to much. bad experience from charging time .Don't Buy
86951935,Certified Buyer,Moradabad,11 months ago,"9,499",1,Useless product,"Redmi 9 Active is better than this Bacause back camera is not 50 mp, it's 8 mp and charging time Very long. Mobile heating problem when charging and there is no return policy."
