Reviewer_ID,Reviewer_Type,Location,Date,Price,Rating,Review_Title,Review_Text
53087003,Certified Buyer,Solan,6 months ago,"16,999",5,Must buy!,"This phone is a good choice It is my first samsung phone and I'll say I am satisfied enough till date . It's camera quality is good , the colour contrast is good and videos are stable but not 60fps . It's battery backup is real good lasts 2 days with 80-85% charge and Charging is also very quick ..I'd say go with this phone !"
21754774,Certified Buyer,Kalyani,5 months ago,"16,999",5,Just wow!,Pretty good camera especially in good light condition.Battery is good but the charging speed is too slow.Display is good.Overall decent product for daaily usage.
13634367,Certified Buyer,Sidco Industrial Estate Kittur Belagavi,6 months ago,"16,999",5,Worth every penny,The performance and display is very good..the camera is better as compared to its segment. battery is decent enough for a full day normal use..
18152852,Certified Buyer,Vaghodia,11 months ago,"16,999",5,Best in the market!,In love with this phone. 😍 My first Samsung phone and it's really worth it.Bgmi Cod Asphalt all are running smoothly on this device.Made a great choice thanks flipkart.
90498789,Certified Buyer,Walajabad,11 months ago,"16,999",5,Awesome,Good product.Front camera is 8mp but quality is very good.display is very good & 120 hz is so smooth to use..
58924893,Certified Buyer,Chhachhrauli,9 months ago,"16,999",5,Simply awesome,"At this price it is Very good and excellent smartphone, Go for it guys,Amazing performance After use it for 30 days i feel this phone have a  decent camera, Overall good display, Nice 10-12 hours backup battery, no doubt very good performance, it is Wonderful budget phone of samsung ,Highly recommended at this budget."
15841744,Certified Buyer,Howrah,11 months ago,"16,999",5,Brilliant,"First of all, this is a Samsung 2022 5G phone.Pros:1. Android 12 with Oneui 4.1 out of the box is extremely good os, feels like a flagship.2. Call recording without announcement.3. 5G ready with 12 5G bands4. Rear camera is very good. Ultra wide cam is also usable.5. Processor SD 750G is extremely fluid and doesn't throttle or heat up even in summer.6. Battery 5000mah is just awesome. I charge with Portronics 18W charger which takes less than 2 hr to charge.7. Display is TFT LCD but b..."
31788885,Certified Buyer,Serampore,8 months ago,"16,999",5,Must buy!,"Really loved the colour of the phone, it gives a premium vibe. Considering the camera only 8mp,it is way better than the camera of any other brand providing around 20mp with effects. Samsung's camera does not uses extra powdery effect and keeps the face natural like you are viewing in a mirror. It has a feature to click selfies by showing the palm, and it clickc a pcture within 3 seconds. Apart from that there are many features and modes provided in the camera. Back camera is also too good. ..."
42302093,Certified Buyer,Sagar,10 months ago,"16,999",5,Great product,"Excellent smartphone in this segment absolutely great performance, nice camera, long lasting battery and most important amazing UI. And whoever were saying the panel is TFT let them be becauses i found this phone's display pretty much good over IPS panel the brightness is eventually more than ips panels."
40714894,Certified Buyer,Silchar,8 months ago,"16,999",5,Wonderful,Very good performance . Loved it . Nice camera and good battery life . But main problem is that it doesn't come with charger and I had to purchase it separately which costed me 1.3k. Rest the display used is tft which I didn't expect in such a price segment device specially in samsung which is known for it's display ....
46874125,Certified Buyer,Saran District,10 months ago,"16,999",5,Worth every penny,"Everything is good love it this mobile battery 🔋 backup, display very smooth camera also good &5g value for money go for take."
38701676,Certified Buyer,Bhatpara,9 months ago,"16,999",5,Brilliant,I am writing this review after 1 month of use. A very good phone from Samsung at this price I just loved it the overall performance is very a. This is a very good gaming phone whoever wants a good gaming experience they can definitely go for it. But the only disadvantage is that u have to buy the charger from outside.
62426184,Certified Buyer,Rajkot,"Mar, 2022","16,999",5,Great product,"A good phone in the budget of 15k- 20k with a better processor compared to other phones in this range. Also, refresh rate is higher than other phones in this range. Weaker points are the TFT Display, Front Camera and Drop Notch. Forest Green colour is near to Black colour not making it to look odd but decent. Overall satisfied with the phone in this price range. Delivery was on time and the packaging was quiet good."
31572104,Certified Buyer,Bangalore Urban,10 months ago,"16,999",5,Classy product,"First of all the colour of device is awesome. Gives a Premium look. Camera is good enough for lovely pictures unless you want to do Prussian photography using this, the cameras do a very impressive job. Display is not one of the best from Samsung, but you get 5G with this device, which is cool at this price point. Battery backup and fast charging is reasonable.. the speed is also commendable with one of the best processors inside, definitely a convincing device to buy.Not a hard-core gaming ..."
25053756,Certified Buyer,Nagpur,6 months ago,"16,999",5,Best in the market!,My 2nd Samsung mob after years. Old Samsung used to hang so never liked it. But this mob works smooth. Hasn't hanged even once. 120Hz display works smooth it also offer battery save option 60hz display. Display Colour is rich. 8MP Selfi is far better in similar category. Rear camera captur good colors even in night. Speakers sound is good with dolby effect much clear than MI and realme. Looks good in hand slim low weight. Good thing is you don't have keep wiping finger print doesn't stick m...
15265434,Certified Buyer,Kadirur,5 months ago,"16,999",5,Classy product,"Review after one week Battery life great..Use 25W samsung charger for good charging experienceCamera is pretty good 50mp gives good processed image.Video stabilitization is good but reducing quality.120Hz display is fair enough,but amoled is far better.Snapdragon 750g is good also giving quality performance for gaming Like BGMI."
15960883,Certified Buyer,,5 months ago,"16,999",5,Super!,Best 5g phone with 12 bands snapdragon 750 g chip 6 gb plus 6 gb total 12 gb ram big screen cool design 120 hz refresh rate totally satisfied run like hot knife on butter
67317275,Certified Buyer,Chennai,7 months ago,"16,999",5,Worth every penny,It's awesome to use Samsung 👏 phones and kuddos to the greatest and lightest one ui being and midrange phone it misses only charger rest 120 hz display is not amoled still it's IPS but still it awesome and snapdragon 750g is such an innovative and insidious SOC by awesome gaming experience but there is a catch it's only 60 fps then camera are average hope u agree with my point 👉 Still 50 MP doesn't takes very good 😕 pics Then we have 2Mp which is not at useful macro camera 8MP is not ba...
45814660,Certified Buyer,Chandigarh,11 months ago,"16,999",5,Super!,"Good Phone I was very confused by Youtubers about Screen and Camera, But after purchase this Turnup the best one.. Good Camera and Good Screen.. So smooth!! 6 Month back I purchased MI 11lite 8 GB +128 and I am completely Not satisfied duw to hang issues and Camera is pathetic!!! I recommend this Phone over MI + Redmi + Realme"
19847969,Certified Buyer,Virudhunagar,10 months ago,"16,999",5,Excellent,It's  a nice phone and the 120hz refresh rate is nice and Awesome 👌 👏 👍 Must Buy
40909602,Certified Buyer,Shahjahanpur,2 months ago,"16,999",5,Perfect product!,Samsung galaxy F23 ...So thanks Is phone better Love you Design mobile My best Phone.... Thank you Flipkart
86851824,Certified Buyer,Chitradurga District,"Mar, 2022","16,999",5,Super!,"The product is new, so we don't get back cover in the market.... so plz provide charger and back cover with the box.... otherwise phone is good with this price...Due to super fast charging the little bit heat will charging otherwise mobile superb...."
77028618,Certified Buyer,South Twenty Four Parganas District,6 months ago,"16,999",5,Best in the market!,"Best one this price range,go for it 👌Powerfull prosseser,longlasting battery, lerge display,camera is good and also butter smooth surfing.im happy with product, thanks to flip kart."
67147027,Certified Buyer,Nagpur,5 months ago,"16,999",5,Worth every penny,"I always used flagships like Galaxy S series or iPhone ..always high end ..now time came where I found really good phones are the ones which are in the middle of segment...belive me F23 5G is hell of a phone ... superfast ,no lag whatsoever, with 60ghz is way to fast ...and switch to 120 ghz it's blazing fast.... excellent camera (After recent software update) ....Go for it"
33821412,Certified Buyer,Nagamalaipudukottai,7 months ago,"16,999",5,Mind-blowing purchase,Lovely mobile. Day time camera quality very good. Wide angle so love.  Night time better. Mony is very use full. Thanks Samsung. Flip kart very fast in my door. Good service.
80419913,Certified Buyer,Kozhikode,11 months ago,"16,999",5,Must buy!,"Just the best product for my dreams. 5g,  Dual sim, hours of browsing, fantastic camera, extended memory support,  good network capturing, high speed, zero hanging!! What else one could imagine for this money.. made for India i may say."
62209659,Certified Buyer,New Delhi,9 months ago,"16,999",5,Wonderful,I like the overall phone in this price range. Camera is quite good but it can be improved. Good battery backup and display.
55840468,Certified Buyer,Jharsuguda,"Mar, 2022","16,999",5,Awesome,Very very very good Best soundBest cameraDisplay good Good lookingSlim and best designPerformance is also good
96434248,Certified Buyer,Bijapur District,1 month ago,"16,999",5,Wonderful,Mobile good and camera also good i have used it for 2 days it is fine tq flipkart
52788727,Certified Buyer,Butibori,1 month ago,"16,999",5,Excellent,Camera is awesome 👌 I like it and battery  is well not comfortable in side fingerprint sensor and other is good 👍 😀 ....
21929095,Certified Buyer,Jagatsinghapur,4 months ago,"16,999",5,Brilliant,What a camera. Worth of money. Every body like the camera quality. By d way Samsung is always Samsung nothing like Samsung.
22854737,Certified Buyer,Vijayawada,10 months ago,"16,999",5,Brilliant,This Green colour looks Awesome Generally we use primary camera more so its best in that segment. Battery charge & discharge excellent...supports 25w its good..full charge in 1&1/2 hrDisplay is goodSingle speaker but loud enough 12 5g bands great! triple sim slot- 2 sims & 1 sd card support On the top Samsung UI - lovely performance 2 years of andriod os updates & 4 years of security updates which is very good.Thats all in the end its a good phone. you can choose this instead of othe...
51340065,Certified Buyer,Puducherry,"Mar, 2022","16,999",5,Awesome,"Overall a good and nice phone , for whom who are looking for a budget phone , performance , battery  , camera are very good , value for money"
40299610,Certified Buyer,Sabar Kantha District,8 months ago,"16,999",5,Fabulous!,In love with this phone. 🥰My first samsung phone and it's really worth it.Bgmi cod asphalt all are running smoothly on this device.Made a great choice thanks flipkart.
98694802,Certified Buyer,Hathras,10 months ago,"16,999",5,Worth every penny,"This works Great on each aspect.Front camera will definitely disappointing  if you are a selfie lover.Battery is so good , as a heavy user you will use it more than half  day of continue usage.Screen will give you peace when you touch it .Sound /Voice quality is so high , if you are in marketing job then this phone  voice will give you the satisfaction .One nad things about this phone is  it comes without charging adapter then you have to purchase a new competent adapter for better , fa..."
61049666,Certified Buyer,Nashik,"Mar, 2022","16,999",5,Perfect product!,bro awesome product . buy it if having a budget <20000. TFT display not an issue. cameras top notch. little bit big screen. processor best. notch is outdated. best design.
96196132,Certified Buyer,Bhavnagar,9 months ago,"16,999",5,Brilliant,"Very Good Phone , worth for money Performance is too good no legBattery is good120 hz display so smooth and brightness and color is goodSound is good No any heating issue ......Happy to use"
79275755,Certified Buyer,Patna,11 months ago,"16,999",5,Wonderful,"Overall, a great deal.Pros:Snapdragon 750G processor.5000 mAh battery.Great dynamic range of the screen which helps us view a wide range of colour.Corning Gorilla Glass 5 protection.Sleek design and premium look. Hence, a nice in hand feel.Nice in built camera stablization.Cons:Since it is a budget phone, a power brick was expected in the box. So you don't get any charger along. You've to buy it separatly.Phone case is absent too."
19750171,Certified Buyer,Mumbai,6 months ago,"16,999",5,Super!,"I brought samsung f23 6GB RAM version.I am speaking from my personal experience. 1- Has 4 years of software plus security updates with Android 13 and 14. 2- At this price you can get full fledged version of One UX plus UFS 2.2 (most come with UFS 2.1 at this price).3- Also the superb build quality of a A series device, and the TFT LCD panel is not any less inferior to IPS LCD, it supports HDR video, has 240 hz touch sampling rate, 120 hz refresh rate, Gorilla glass 5 and 600 nits of br..."
23384712,Certified Buyer,Greater Noida,10 months ago,"16,999",5,Awesome,"Many people were complaining about battery drainage and heating issues...i haven't faced any of them in my one week of usage.Camera is perfect at this price range.Samsung ONE UI 4.1 is just best.Display - Obviously not as much good as a Amoled display but still it is nice, bright and clear.Performance is superb...no lags in daily usage (i m not a gamer) ....u can easily perform multitasking and that 120hz touch rate helps in giving a smoother experience overall.Bonus- Samsung's usefull ..."
30941329,Certified Buyer,Silchar,11 months ago,"16,999",5,Mind-blowing purchase,NFC feature is very good ..every thing is good one ui 4.1 is very smooth
80982788,Certified Buyer,Gaya,8 months ago,"16,999",5,Just wow!,At this price  this is perfect  perfect phone Here is why1.nfc2. Sd 750g 5g3. Good camera quality 4.5000mah battery capacity 5 120hz smooth display 👌 Cons:1.no adapter  in the box.2. No amoled display.
89679104,Certified Buyer,Nellore,"Mar, 2022","16,999",5,Classy product,"Nice phone ,nice design,medium quality,normal screen,in this price performance was best , overall good Samsung phone , happily buy this phone"
73403788,Certified Buyer,Kushinagar,3 months ago,"16,999",5,Super!,It was a amazing product in this price rangeLove to use it.Only one thing that i am missing is charger in the boxCamera superb 👌Battery amazing 2 days Battery backup Happy with the product Go for it.
77158151,Certified Buyer,Kamrup Metropolitan District,7 months ago,"16,999",5,Worth every penny,"I am writing this review after one month so far I didnt found any issues. I received the genuine product from Flipkart. About the product the phone has a capable processor which is SD 750G, its a good processor in this range also antutu score is quite good.Camera is decent enough and Video has stability control feature which is very good.Display is good for indoor not for bright sunlight  atleast Samsung can give AMOLED display in this range. But it has 120hz gorilla glass 5 and it works..."
94112391,Certified Buyer,Nashik,11 months ago,"16,999",5,Wonderful,Mobile is fentastic just no word to day anything wrong If u r gamer like snapdragonsecurity like knox with samsung PAYCamera like 4kDesign like handyDual sim + memory slot5g speed with 12 bandsFeatures like one ui top notchJust go for it without any single thougt
66666158,Certified Buyer,Kota,10 months ago,"16,999",5,Classy product,This is fantastic phone I ever brought this is also a budget phone . I'de like to se the phone like . No phone is best.  This is because it is 5g
74399870,Certified Buyer,New Delhi,9 months ago,"16,999",5,Best in the market!,F23 Is nice choice performance snapdragon 750g 8nm processor display is soo good  I am not except good display but i am wrong display is too good internet speed is so fast battery backup is so good 8hours battery running design & look is soo better I am take 4 star this device
89992821,Certified Buyer,Tirunelveli,10 months ago,"16,999",5,Great product,"Excellent phone,it has Dolby audio ,for charger it has offer stop negative reviews this Phone is the best in this segment worth the price awesome phone ,for those who complaint camera buy a iphone and spend a fortune for everythingPhone does not heat up it may heat at first but it's resolved in updates"
55925028,Certified Buyer,Siwan District,4 months ago,"16,999",5,Best in the market!,This phone is very good because alot us of features available.and working very fast and it's 5G Phone 📱So I'm very happy ❤️❤️☺️🥰Thanks you Flipkart
18721687,Certified Buyer,Amravati,9 months ago,"16,999",5,Excellent,Very great product with all essential application and sensors. Clear sound . The main pros is call recorder without any notification. Others mobile company using Google dailer. Performance is best. I really like this mobile .
44738999,Certified Buyer,Devanahalli,10 months ago,"16,999",5,Fabulous!,Everything is good charger adaptor is not provided camera quality is good battery backup is good I loved it
20612251,Certified Buyer,Navi Mumbai,6 months ago,"16,999",5,Simply awesome,"Very Good Product at this price TAG , overall good performance . My uses are only related by business and not very fond of Games though .  The battery life is Good and the Camera Quality is Good . It really Good buy and as I could see its a very much hit product of the moment with with the kind of configuration it has in this price TAG."
35960017,Certified Buyer,Tumakuru,6 months ago,"16,999",5,"Mind-blowing purchase, Value for money, Made in India.","Writing reviews after two days of usage, Purchased this Product through BBD Sale 2022. Budget Samsung phone with premium new design look, Im impressed with the phone and Android 12 features. Pro's It Contains almost all features of premium android phones have.I purchased 6GB phone and after heavy usage not felt lagging.Battery runtime was awesome, my day ends with 40-60% after a full charge in morning.Charging Speed with 25wt Original Samsung Charger is good.Display screen also good.C..."
60537928,Certified Buyer,Yadadri District,8 months ago,"16,999",5,Simply awesome,"Recently bought this mobile 10 days back till now I was fully satisfied everything is okay, only con is Bluetooth is disconnecting for every 30 minutes. Camera is good and can  do a improvement slightly in it..!"
